Layer,IN_B,MUL_B,MUL_B,ADD_B,ADD_B,SUB_B,MUL_B,MUL_B,ADD_B,ADD_B,SUB_B,MUL_B,MUL_B,ADD_B,ADD_B,SUB_B,MUL_B,MUL_B,ADD_B,ADD_B,SUB_B,GT_B,MUX_B,GT_B,MUX_B,GT_B,MUX_B,OUT_B
L0,480,26,26,0,0,0,26,26,0,0,0,26,26,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0
L1,0,554,554,0,48,0,554,554,0,48,0,554,554,0,48,0,554,554,0,48,0,0,0,0,0,0,0,0
L2,0,31,31,1,32,1,31,31,1,32,1,31,31,1,32,1,31,31,1,32,1,1,0,0,0,0,0,0
L3,0,31,31,3,32,1,31,31,3,32,1,31,31,3,32,1,31,31,3,32,1,2,0,0,0,0,0,0
L4,0,31,31,3,32,1,31,31,3,32,1,31,31,3,32,1,31,31,3,32,1,1,0,0,0,0,0,0
L5,0,31,31,3,32,1,31,31,3,32,1,31,31,3,32,1,31,31,3,32,1,3,0,0,0,0,0,0
L6,0,31,31,3,16,0,31,31,3,16,0,31,31,3,16,0,31,31,3,16,0,1,0,0,0,0,0,0
L7,0,31,31,5,0,1,31,31,5,0,1,31,31,5,0,1,31,31,5,0,1,1,0,0,0,0,0,0
L8,0,31,31,5,0,1,31,31,5,0,1,31,31,5,0,1,31,31,5,0,1,3,0,0,0,0,0,0
L9,0,31,31,5,0,1,31,31,5,0,1,31,31,5,0,1,31,31,5,0,1,1,0,0,0,0,0,0
L10,0,31,31,3,0,1,31,31,3,0,1,31,31,3,0,1,31,31,3,0,1,3,0,0,0,0,0,0
L11,0,31,31,5,0,0,31,31,5,0,0,31,31,5,0,0,31,31,5,0,0,2,0,0,0,0,0,0
L12,0,31,31,7,0,1,31,31,7,0,1,31,31,7,0,1,31,31,7,0,1,2,0,0,0,0,0,0
L13,0,31,31,5,0,1,31,31,5,0,1,31,31,5,0,1,31,31,5,0,1,3,0,0,0,0,0,0
L14,0,31,31,3,0,1,31,31,3,0,1,31,31,3,0,1,31,31,3,0,1,1,0,0,0,0,0,0
L15,0,31,31,7,0,1,31,31,7,0,1,31,31,7,0,1,31,31,7,0,1,3,0,0,0,0,0,0
L16,0,31,31,7,0,1,31,31,7,0,1,31,31,7,0,1,31,31,7,0,1,3,0,0,0,0,0,0
L17,0,31,31,7,0,1,31,31,7,0,1,31,31,7,0,1,31,31,7,0,1,3,0,0,0,0,0,0
L18,0,31,31,5,0,1,31,31,5,0,1,31,31,5,0,1,31,31,5,0,1,1,0,0,0,0,0,0
L19,0,31,31,5,0,1,31,31,5,0,1,31,31,5,0,1,31,31,5,0,1,3,0,0,0,0,0,0
L20,0,31,31,5,0,0,31,31,5,0,0,31,31,5,0,0,31,31,5,0,0,2,0,0,0,0,0,0
L21,0,31,31,9,0,1,31,31,9,0,1,31,31,9,0,1,31,31,9,0,1,3,0,0,0,0,0,0
L22,0,31,31,3,0,1,31,31,3,0,1,31,31,3,0,1,31,31,3,0,1,4,0,0,0,0,0,0
L23,0,31,31,7,0,1,31,31,7,0,1,31,31,7,0,1,31,31,7,0,1,1,0,0,0,0,0,0
L24,0,31,31,7,0,1,31,31,7,0,1,31,31,7,0,1,31,31,7,0,1,3,0,0,0,0,0,0
L25,0,31,31,7,0,1,31,31,7,0,1,31,31,7,0,1,31,31,7,0,1,3,0,0,0,0,0,0
L26,0,31,31,5,0,1,31,31,5,0,1,31,31,5,0,1,31,31,5,0,1,3,0,0,0,0,0,0
L27,0,31,31,5,0,1,31,31,5,0,1,31,31,5,0,1,31,31,5,0,1,1,0,0,0,0,0,0
L28,0,31,31,9,0,1,31,31,9,0,1,31,31,9,0,1,31,31,9,0,1,3,0,0,0,0,0,0
L29,0,31,31,9,0,1,31,31,9,0,1,31,31,9,0,1,31,31,9,0,1,3,0,0,0,0,0,0
L30,0,31,31,5,0,1,31,31,5,0,1,31,31,5,0,1,31,31,5,0,1,5,0,0,0,0,0,0
L31,0,5,5,7,0,1,5,5,7,0,1,5,5,7,0,1,5,5,7,0,1,1,0,0,0,0,0,0
L32,0,5,5,9,0,1,5,5,9,0,1,5,5,9,0,1,5,5,9,0,1,3,0,0,0,0,0,0
L33,0,0,0,9,0,1,0,0,9,0,1,0,0,9,0,1,0,0,9,0,1,3,0,0,0,0,0,0
L34,0,0,0,6,0,1,0,0,6,0,1,0,0,6,0,1,0,0,6,0,1,3,0,0,0,0,0,0
L35,0,0,0,4,0,1,0,0,4,0,1,0,0,4,0,1,0,0,4,0,1,1,0,0,0,0,0,0
L36,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,3,0,0,0,0,0,0
L37,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0
L38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
L39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
L40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
L41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0
L43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
L44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
L45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
L46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
L47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
L49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0
L50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
L51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
L52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
L53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
L54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
L55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
L56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
